Customer_ID,First_Name,Last_Name,Gender,Age,Birth_Date,Marital_Status,Occupation,Location,Income_Bracket,Abandoned Cart,Wishlist Items,Customer_Lifetime_Value
CUST0001,Maya,Usamah,Female,35,1990-02-08,Married,Estate manager/land agent,Banda Aceh,Middle Income,"['PROD0665', 'PROD0946']","['PROD0673', 'PROD0277', 'PROD0216', 'PROD0450', 'PROD0463', 'PROD1021']",3933745
CUST0002,Yance,Rahmawati,Female,23,2002-06-23,Married,Herbalist,Subulussalam,High Income,"['PROD0110', 'PROD0750', 'PROD0678', 'PROD0884']","['PROD0641', 'PROD0131']",14309244
CUST0003,Lanang,Sihotang,Male,17,2007-11-04,Single,Chartered public finance accountant,Gorontalo,Middle Income,"['PROD0980', 'PROD0794', 'PROD0654', 'PROD0527']","['PROD0283', 'PROD0720']",1535696
CUST0004,Febi,Wahyuni,Female,43,1982-04-13,Married,Cabin crew,Meulaboh,Low Income,"['PROD0448', 'PROD0093']","['PROD0748', 'PROD0823', 'PROD0337', 'PROD0645', 'PROD0331']",471935
CUST0005,Karen,Hastuti,Female,44,1980-11-02,Married,Medical illustrator,Denpasar,Middle Income,"['PROD0344', 'PROD0232', 'PROD0291']","['PROD0267', 'PROD0318', 'PROD0734', 'PROD0255']",2985461
CUST0006,Ulya,Haryanti,Female,20,2004-08-27,Single,Theatre stage manager,Balikpapan,Middle Income,"['PROD0421', 'PROD0067', 'PROD1043']","['PROD0060', 'PROD0953', 'PROD0547', 'PROD0067']",1801082
CUST0007,Imam,Hakim,Male,51,1973-11-18,Married,Garment/textile technologist,Sawahlunto,Low Income,['PROD1046'],"['PROD0876', 'PROD0883']",418970
CUST0008,Chandra,Wibowo,Male,21,2003-11-02,Single,Print production planner,Palangkaraya,Middle Income,['PROD0200'],"['PROD0489', 'PROD0652', 'PROD0967', 'PROD0282']",2108157
CUST0009,Paramita,Usamah,Female,41,1984-02-19,Married,Interpreter,Banjarbaru,High Income,"['PROD0975', 'PROD0094']","['PROD0276', 'PROD1028']",11018406
CUST0010,Salman,Halim,Male,23,2002-01-25,Married,"Conservator, museum/gallery",Pematangsiantar,Low Income,"['PROD0962', 'PROD0443']","['PROD0513', 'PROD0393', 'PROD0550', 'PROD0898']",987269
CUST0011,Sakti,Prayoga,Male,47,1978-06-27,Married,"Investment banker, operational",Tarakan,Low Income,"['PROD0028', 'PROD0600']","['PROD0289', 'PROD0878', 'PROD0066']",658722
CUST0012,Tirta,Prasetya,Male,41,1984-04-29,Married,Herbalist,Kota Administrasi Jakarta Pusat,Middle Income,"['PROD0141', 'PROD1030', 'PROD0460', 'PROD0377']","['PROD0796', 'PROD0791', 'PROD1008', 'PROD0536', 'PROD0667', 'PROD0047']",1566030
CUST0013,Yessi,Suartini,Female,17,2007-12-31,Single,Commercial art gallery manager,Serang,Middle Income,['PROD0225'],"['PROD0338', 'PROD0658', 'PROD0155', 'PROD0608', 'PROD0734', 'PROD0982', 'PROD0972']",2912075
CUST0014,Maman,Uwais,Male,55,1970-05-27,Married,"Engineer, site",Purwokerto,Middle Income,"['PROD0028', 'PROD0683', 'PROD0655']","['PROD0841', 'PROD0470']",1351314
CUST0015,Salwa,Nasyidah,Female,27,1997-08-20,Married,Facilities manager,Bekasi,Middle Income,"['PROD0950', 'PROD0347']","['PROD0298', 'PROD0154', 'PROD0958', 'PROD0214', 'PROD0241', 'PROD0003', 'PROD0231']",5910907
CUST0016,Utama,Halim,Male,42,1983-01-29,Married,Forest/woodland manager,Padangpanjang,Middle Income,"['PROD0055', 'PROD0765']","['PROD0575', 'PROD0399', 'PROD0491', 'PROD0444', 'PROD0168']",3317709
CUST0017,Satya,Haryanto,Male,42,1982-11-22,Married,Corporate investment banker,Prabumulih,Middle Income,['PROD0679'],"['PROD0393', 'PROD0550', 'PROD0792', 'PROD0573', 'PROD0909', 'PROD0980', 'PROD0204']",5379342
CUST0018,Ina,Kuswandari,Female,24,2001-05-12,Married,Leisure centre manager,Tidore Kepulauan,Middle Income,['PROD0582'],"['PROD0592', 'PROD0725', 'PROD1059', 'PROD0616']",3885974
CUST0019,Iriana,Palastri,Female,55,1969-09-05,Married,Building control surveyor,Samarinda,Middle Income,"['PROD0143', 'PROD1047']","['PROD0577', 'PROD0671', 'PROD1020', 'PROD0534', 'PROD0296']",3471422
CUST0020,Ilsa,Kusmawati,Female,46,1978-11-22,Married,TEFL teacher,Banda Aceh,Middle Income,"['PROD0272', 'PROD0331']","['PROD0257', 'PROD0608']",4712033
